full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"colegir","colijo","coliges","colige","colegimos","colegís","coligen","colegía","colegías","colegía","colegíamos","colegíais","colegían","colegí","colegiste","coligió","colegimos","colegisteis","coligieron","colegiré","colegirás","colegirá","colegiremos","colegiréis","colegirán","colegiría","colegirías","colegiría","colegiríamos","colegiríais","colegirían","colija","colijas","colija","colijamos","colijáis","colijan","coligiera","coligieras","coligiera","coligiéramos","coligierais","coligieran",,"colige","colija","colijamos","colegid","colijan",,"colijas","colija","colijamos","colijáis","colijan","coligiendo","colegido","colegido"
"corregir","corrijo","corriges","corrige","corregimos","corregís","corrigen","corregía","corregías","corregía","corregíamos","corregíais","corregían","corregí","corregiste","corrigió","corregimos","corregisteis","corrigieron","corregiré","corregirás","corregirá","corregiremos","corregiréis","corregirán","corregiría","corregirías","corregiría","corregiríamos","corregiríais","corregirían","corrija","corrijas","corrija","corrijamos","corrijáis","corrijan","corrigiera","corrigieras","corrigiera","corrigiéramos","corrigierais","corrigieran",,"corrige","corrija","corrijamos","corregid","corrijan",,"corrijas","corrija","corrijamos","corrijáis","corrijan","corrigiendo","corregido","corregido"
"dirigir","dirijo","diriges","dirige","dirigimos","dirigís","dirigen","dirigía","dirigías","dirigía","dirigíamos","dirigíais","dirigían","dirigí","dirigiste","dirigió","dirigimos","dirigisteis","dirigieron","dirigiré","dirigirás","dirigirá","dirigiremos","dirigiréis","dirigirán","dirigiría","dirigirías","dirigiría","dirigiríamos","dirigiríais","dirigirían","dirija","dirijas","dirija","dirijamos","dirijáis","dirijan","dirigiera","dirigieras","dirigiera","dirigiéramos","dirigierais","dirigieran",,"dirige","dirija","dirijamos","dirigid","dirijan",,"dirijas","dirija","dirijamos","dirijáis","dirijan","dirigiendo","dirigido","dirigido"
"elegir","elijo","eliges","elige","elegimos","elegís","eligen","elegía","elegías","elegía","elegíamos","elegíais","elegían","elegí","elegiste","eligió","elegimos","elegisteis","eligieron","elegiré","elegirás","elegirá","elegiremos","elegiréis","elegirán","elegiría","elegirías","elegiría","elegiríamos","elegiríais","elegirían","elija","elijas","elija","elijamos","elijáis","elijan","eligiera","eligieras","eligiera","eligiéramos","eligierais","eligieran",,"elige","elija","elijamos","elegid","elijan",,"elijas","elija","elijamos","elijáis","elijan","eligiendo","elegido","elegido"
"exigir","exijo","exiges","exige","exigimos","exigís","exigen","exigía","exigías","exigía","exigíamos","exigíais","exigían","exigí","exigiste","exigió","exigimos","exigisteis","exigieron","exigiré","exigirás","exigirá","exigiremos","exigiréis","exigirán","exigiría","exigirías","exigiría","exigiríamos","exigiríais","exigirían","exija","exijas","exija","exijamos","exijáis","exijan","exigiera","exigieras","exigiera","exigiéramos","exigierais","exigieran",,"exige","exija","exijamos","exigid","exijan",,"exijas","exija","exijamos","exijáis","exijan","exigiendo","exigido","exigido"
"fingir","finjo","finges","finge","fingimos","fingís","fingen","fingía","fingías","fingía","fingíamos","fingíais","fingían","fingí","fingiste","fingió","fingimos","fingisteis","fingieron","fingiré","fingirás","fingirá","fingiremos","fingiréis","fingirán","fingiría","fingirías","fingiría","fingiríamos","fingiríais","fingirían","finja","finjas","finja","finjamos","finjáis","finjan","fingiera","fingieras","fingiera","fingiéramos","fingierais","fingieran",,"finge","finja","finjamos","fingid","finjan",,"finjas","finja","finjamos","finjáis","finjan","fingiendo","fingido","fingido"
"sumergir","sumerjo","sumerges","sumerge","sumergimos","sumergís","sumergen","sumergía","sumergías","sumergía","sumergíamos","sumergíais","sumergían","sumergí","sumergiste","sumergió","sumergimos","sumergisteis","sumergieron","sumergiré","sumergirás","sumergirá","sumergiremos","sumergiréis","sumergirán","sumergiría","sumergirías","sumergiría","sumergiríamos","sumergiríais","sumergirían","sumerja","sumerjas","sumerja","sumerjamos","sumerjáis","sumerjan","sumergiera","sumergieras","sumergiera","sumergiéramos","sumergierais","sumergieran",,"sumerge","sumerja","sumerjamos","sumergid","sumerjan",,"sumerjas","sumerja","sumerjamos","sumerjáis","sumerjan","sumergiendo","sumergido","sumergido"
"surgir","surjo","surges","surge","surgimos","surgís","surgen","surgía","surgías","surgía","surgíamos","surgíais","surgían","surgí","surgiste","surgió","surgimos","surgisteis","surgieron","surgiré","surgirás","surgirá","surgiremos","surgiréis","surgirán","surgiría","surgirías","surgiría","surgiríamos","surgiríais","surgirían","surja","surjas","surja","surjamos","surjáis","surjan","surgiera","surgieras","surgiera","surgiéramos","surgierais","surgieran",,"surge","surja","surjamos","surgid","surjan",,"surjas","surja","surjamos","surjáis","surjan","surgiendo","surgido","surgido"
