full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"conducir","conduzco","conduces","conduce","conducimos","conducís","conducen","conducía","conducías","conducía","conducíamos","conducíais","conducían","conduje","condujiste","condujo","condujimos","condujisteis","condujeron","conduciré","conducirás","conducirá","conduciremos","conduciréis","conducirán","conduciría","conducirías","conduciría","conduciríamos","conduciríais","conducirían","conduzca","conduzcas","conduzca","conduzcamos","conduzcáis","conduzcan","condujera","condujeras","condujera","condujéramos","condujerais","condujeran",,"conduce","conduzca","conduzcamos","conducid","conduzcan",,"conduzcas","conduzca","conduzcamos","conduzcáis","conduzcan","conduciendo","conducido","conducido"
"inducir","induzco","induces","induce","inducimos","inducís","inducen","inducía","inducías","inducía","inducíamos","inducíais","inducían","induje","indujiste","indujo","indujimos","indujisteis","indujeron","induciré","inducirás","inducirá","induciremos","induciréis","inducirán","induciría","inducirías","induciría","induciríamos","induciríais","inducirían","induzca","induzcas","induzca","induzcamos","induzcáis","induzcan","indujera","indujeras","indujera","indujéramos","indujerais","indujeran",,"induce","induzca","induzcamos","inducid","induzcan",,"induzcas","induzca","induzcamos","induzcáis","induzcan","induciendo","inducido","inducido"
"introducir","introduzco","introduces","introduce","introducimos","introducís","introducen","introducía","introducías","introducía","introducíamos","introducíais","introducían","introduje","introdujiste","introdujo","introdujimos","introdujisteis","introdujeron","introduciré","introducirás","introducirá","introduciremos","introduciréis","introducirán","introduciría","introducirías","introduciría","introduciríamos","introduciríais","introducirían","introduzca","introduzcas","introduzca","introduzcamos","introduzcáis","introduzcan","introdujera","introdujeras","introdujera","introdujéramos","introdujerais","introdujeran",,"introduce","introduzca","introduzcamos","introducid","introduzcan",,"introduzcas","introduzca","introduzcamos","introduzcáis","introduzcan","introduciendo","introducido","introducido"
"producir","produzco","produces","produce","producimos","producís","producen","producía","producías","producía","producíamos","producíais","producían","produje","produjiste","produjo","produjimos","produjisteis","produjeron","produciré","producirás","producirá","produciremos","produciréis","producirán","produciría","producirías","produciría","produciríamos","produciríais","producirían","produzca","produzcas","produzca","produzcamos","produzcáis","produzcan","produjera","produjeras","produjera","produjéramos","produjerais","produjeran",,"produce","produzca","produzcamos","producid","produzcan",,"produzcas","produzca","produzcamos","produzcáis","produzcan","produciendo","producido","producido"
"traducir","traduzco","traduces","traduce","traducimos","traducís","traducen","traducía","traducías","traducía","traducíamos","traducíais","traducían","traduje","tradujiste","tradujo","tradujimos","tradujisteis","tradujeron","traduciré","traducirás","traducirá","traduciremos","traduciréis","traducirán","traduciría","traducirías","traduciría","traduciríamos","traduciríais","traducirían","traduzca","traduzcas","traduzca","traduzcamos","traduzcáis","traduzcan","tradujera","tradujeras","tradujera","tradujéramos","tradujerais","tradujeran",,"traduce","traduzca","traduzcamos","traducid","traduzcan",,"traduzcas","traduzca","traduzcamos","traduzcáis","traduzcan","traduciendo","traducido","traducido"
