full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"conseguir","consigo","consigues","consigue","conseguimos","conseguís","consiguen","conseguía","conseguías","conseguía","conseguíamos","conseguíais","conseguían","conseguí","conseguiste","consiguió","conseguimos","conseguisteis","consiguieron","conseguiré","conseguirás","conseguirá","conseguiremos","conseguiréis","conseguirán","conseguiría","conseguirías","conseguiría","conseguiríamos","conseguiríais","conseguirían","consiga","consigas","consiga","consigamos","consigáis","consigan","consiguiera","consiguieras","consiguiera","consiguiéramos","consiguierais","consiguieran",,"consigue","consiga","consigamos","conseguid","consigan",,"consigas","consiga","consigamos","consigáis","consigan","consiguiendo","conseguido","conseguido"
"distinguir","distingo","distingues","distingue","distinguimos","distinguís","distinguen","distinguía","distinguías","distinguía","distinguíamos","distinguíais","distinguían","distinguí","distinguiste","distinguió","distinguimos","distinguisteis","distinguieron","distinguiré","distinguirás","distinguirá","distinguiremos","distinguiréis","distinguirán","distinguiría","distinguirías","distinguiría","distinguiríamos","distinguiríais","distinguirían","distinga","distingas","distinga","distingamos","distingáis","distingan","distinguiera","distinguieras","distinguiera","distinguiéramos","distinguierais","distinguieran",,"distingue","distinga","distingamos","distinguid","distingan",,"distingas","distinga","distingamos","distingáis","distingan","distinguiendo","distinguido","distinguido"
"erguir","irgo","irgues","irgue","erguimos","erguís","irguen","erguía","erguías","erguía","erguíamos","erguíais","erguían","erguí","erguiste","irguió","erguimos","erguisteis","irguieron","erguiré","erguirás","erguirá","erguiremos","erguiréis","erguirán","erguiría","erguirías","erguiría","erguiríamos","erguiríais","erguirían","irga","irgas","irga","irgamos","irgáis","irgan","irguiera","irguieras","irguiera","irguiéramos","irguierais","irguieran",,"irgue","irga","irgamos","erguid","irgan",,"irgas","irga","irgamos","irgáis","irgan","irguiendo","erguido","erguido"
"seguir","sigo","sigues","sigue","seguimos","seguís","siguen","seguía","seguías","seguía","seguíamos","seguíais","seguían","seguí","seguiste","siguió","seguimos","seguisteis","siguieron","seguiré","seguirás","seguirá","seguiremos","seguiréis","seguirán","seguiría","seguirías","seguiría","seguiríamos","seguiríais","seguirían","siga","sigas","siga","sigamos","sigáis","sigan","siguiera","siguieras","siguiera","siguiéramos","siguierais","siguieran",,"sigue","siga","sigamos","seguid","sigan",,"sigas","siga","sigamos","sigáis","sigan","siguiendo","seguido","seguido"
