full_phrase,appliedOverrides,doNotApply,base_verb,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete past_yo,incomplete past_tú,incomplete past_usted,incomplete past_nosotros,incomplete past_vosotros,incomplete past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present subjective_yo,present subjective_tú,present subjective_usted,present subjective_nosotros,present subjective_vosotros,present subjective_ustedes,past subjective_yo,past subjective_tú,past subjective_usted,past subjective_nosotros,past subjective_vosotros,past subjective_ustedes,imperative positive_yo,imperative positive_tú,imperative positive_usted,imperative positive_nosotros,imperative positive_vosotros,imperative positive_ustedes,imperative negative_yo,imperative negative_tú,imperative negative_usted,imperative negative_nosotros,imperative negative_vosotros,imperative negative_ustedes,gerund,past participle,
"aceptar",,,,"acepto","aceptas","acepta","aceptamos","aceptáis","aceptan","aceptaba","aceptabas","aceptaba","aceptábamos","aceptabais","aceptaban","acepté","aceptaste","aceptó","aceptamos","aceptasteis","aceptaron","aceptaré","aceptarás","aceptará","aceptaremos","aceptaréis","aceptarán","aceptaría","aceptarías","aceptaría","aceptaríamos","aceptaríais","aceptarían","acepte","aceptes","acepte","aceptemos","aceptéis","acepten","aceptara","aceptaras","aceptara","aceptáramos","aceptarais","aceptaran",,"acepta","acepte","aceptemos","aceptad","acepten",,"aceptes","acepte","aceptemos","aceptéis","acepten","aceptando","aceptado"
"acercar","['car']",,,"acerco","acercas","acerca","acercamos","acercáis","acercan","acercaba","acercabas","acercaba","acercábamos","acercabais","acercaban","acerqué","acercaste","acercó","acercamos","acercasteis","acercaron","acercaré","acercarás","acercará","acercaremos","acercaréis","acercarán","acercaría","acercarías","acercaría","acercaríamos","acercaríais","acercarían","acerque","acerques","acerque","acerquemos","acerquéis","acerquen","acercara","acercaras","acercara","acercáramos","acercarais","acercaran",,"acerca","acerque","acerquemos","acercad","acerquen",,"acerques","acerque","acerquemos","acerquéis","acerquen","acercando","acercado"
"acercarse","['car']",,"acercar","me acerco","te acercas","se acerca","nos acercamos","os acercáis","se acercan","me acercaba","te acercabas","se acercaba","nos acercábamos","os acercabais","se acercaban","me acerqué","te acercaste","se acercó","nos acercamos","os acercasteis","se acercaron","me acercaré","te acercarás","se acercará","nos acercaremos","os acercaréis","se acercarán","me acercaría","te acercarías","se acercaría","nos acercaríamos","os acercaríais","se acercarían","me acerque","te acerques","se acerque","nos acerquemos","os acerquéis","se acerquen","me acercara","te acercaras","se acercara","nos acercáramos","os acercarais","se acercaran",,"acércate","acerqúese","acerquémonos","acercaos","acerqúense",,"te acerques","acerqúese","acerquémonos","os acerquéis","acerqúense","acercándose","acercado"
"acertar","[u'e:ie', u'e:ie_1sp', 'pres_sub_inf']",,,"acierto","aciertas","acierta","acertamos","acertáis","aciertan","acertaba","acertabas","acertaba","acertábamos","acertabais","acertaban","acerté","acertaste","acertó","acertamos","acertasteis","acertaron","acertaré","acertarás","acertará","acertaremos","acertaréis","acertarán","acertaría","acertarías","acertaría","acertaríamos","acertaríais","acertarían","acierte","aciertes","acierte","acertemos","acertéis","acierten","acertara","acertaras","acertara","acertáramos","acertarais","acertaran",,"acierta","acierte","acertemos","acertad","acierten",,"aciertes","acierte","acertemos","acertéis","acierten","acertando","acertado"
"aclamar",,,,"aclamo","aclamas","aclama","aclamamos","aclamáis","aclaman","aclamaba","aclamabas","aclamaba","aclamábamos","aclamabais","aclamaban","aclamé","aclamaste","aclamó","aclamamos","aclamasteis","aclamaron","aclamaré","aclamarás","aclamará","aclamaremos","aclamaréis","aclamarán","aclamaría","aclamarías","aclamaría","aclamaríamos","aclamaríais","aclamarían","aclame","aclames","aclame","aclamemos","aclaméis","aclamen","aclamara","aclamaras","aclamara","aclamáramos","aclamarais","aclamaran",,"aclama","aclame","aclamemos","aclamad","aclamen",,"aclames","aclame","aclamemos","aclaméis","aclamen","aclamando","aclamado"
"aclarar",,,,"aclaro","aclaras","aclara","aclaramos","aclaráis","aclaran","aclaraba","aclarabas","aclaraba","aclarábamos","aclarabais","aclaraban","aclaré","aclaraste","aclaró","aclaramos","aclarasteis","aclararon","aclararé","aclararás","aclarará","aclararemos","aclararéis","aclararán","aclararía","aclararías","aclararía","aclararíamos","aclararíais","aclararían","aclare","aclares","aclare","aclaremos","aclaréis","aclaren","aclarara","aclararas","aclarara","aclaráramos","aclararais","aclararan",,"aclara","aclare","aclaremos","aclarad","aclaren",,"aclares","aclare","aclaremos","aclaréis","aclaren","aclarando","aclarado"
"acompañar",,,,"acompaño","acompañas","acompaña","acompañamos","acompañáis","acompañan","acompañaba","acompañabas","acompañaba","acompañábamos","acompañabais","acompañaban","acompañé","acompañaste","acompañó","acompañamos","acompañasteis","acompañaron","acompañaré","acompañarás","acompañará","acompañaremos","acompañaréis","acompañarán","acompañaría","acompañarías","acompañaría","acompañaríamos","acompañaríais","acompañarían","acompañe","acompañes","acompañe","acompañemos","acompañéis","acompañen","acompañara","acompañaras","acompañara","acompañáramos","acompañarais","acompañaran",,"acompaña","acompañe","acompañemos","acompañad","acompañen",,"acompañes","acompañe","acompañemos","acompañéis","acompañen","acompañando","acompañado"
"aconsejar",,,,"aconsejo","aconsejas","aconseja","aconsejamos","aconsejáis","aconsejan","aconsejaba","aconsejabas","aconsejaba","aconsejábamos","aconsejabais","aconsejaban","aconsejé","aconsejaste","aconsejó","aconsejamos","aconsejasteis","aconsejaron","aconsejaré","aconsejarás","aconsejará","aconsejaremos","aconsejaréis","aconsejarán","aconsejaría","aconsejarías","aconsejaría","aconsejaríamos","aconsejaríais","aconsejarían","aconseje","aconsejes","aconseje","aconsejemos","aconsejéis","aconsejen","aconsejara","aconsejaras","aconsejara","aconsejáramos","aconsejarais","aconsejaran",,"aconseja","aconseje","aconsejemos","aconsejad","aconsejen",,"aconsejes","aconseje","aconsejemos","aconsejéis","aconsejen","aconsejando","aconsejado"
"acordar","[u'o:ue', u'o:ue_1sp', 'pres_sub_inf']",,,"acuerdo","acuerdas","acuerda","acordamos","acordáis","acuerdan","acordaba","acordabas","acordaba","acordábamos","acordabais","acordaban","acordé","acordaste","acordó","acordamos","acordasteis","acordaron","acordaré","acordarás","acordará","acordaremos","acordaréis","acordarán","acordaría","acordarías","acordaría","acordaríamos","acordaríais","acordarían","acuerde","acuerdes","acuerde","acordemos","acordéis","acuerden","acordara","acordaras","acordara","acordáramos","acordarais","acordaran",,"acuerda","acuerde","acordemos","acordad","acuerden",,"acuerdes","acuerde","acordemos","acordéis","acuerden","acordando","acordado"
"acordarse","[u'o:ue', u'o:ue_1sp', 'pres_sub_inf']",,"acordar","me acuerdo","te acuerdas","se acuerda","nos acordamos","os acordáis","se acuerdan","me acordaba","te acordabas","se acordaba","nos acordábamos","os acordabais","se acordaban","me acordé","te acordaste","se acordó","nos acordamos","os acordasteis","se acordaron","me acordaré","te acordarás","se acordará","nos acordaremos","os acordaréis","se acordarán","me acordaría","te acordarías","se acordaría","nos acordaríamos","os acordaríais","se acordarían","me acuerde","te acuerdes","se acuerde","nos acordemos","os acordéis","se acuerden","me acordara","te acordaras","se acordara","nos acordáramos","os acordarais","se acordaran",,"acuérdate","acuérdese","acordémonos","acordaos","acuérdense",,"te acuerdes","acuérdese","acordémonos","os acordéis","acuérdense","acordándose","acordado"
