full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"coger","cojo","coges","coge","cogemos","cogéis","cogen","cogía","cogías","cogía","cogíamos","cogíais","cogían","cogí","cogiste","cogió","cogimos","cogisteis","cogieron","cogeré","cogerás","cogerá","cogeremos","cogeréis","cogerán","cogería","cogerías","cogería","cogeríamos","cogeríais","cogerían","coja","cojas","coja","cojamos","cojáis","cojan","cogiera","cogieras","cogiera","cogiéramos","cogierais","cogieran",,"coge","coja","cojamos","coged","cojan",,"cojas","coja","cojamos","cojáis","cojan","cogiendo","cogido","cogido"
"escoger","escojo","escoges","escoge","escogemos","escogéis","escogen","escogía","escogías","escogía","escogíamos","escogíais","escogían","escogí","escogiste","escogió","escogimos","escogisteis","escogieron","escogeré","escogerás","escogerá","escogeremos","escogeréis","escogerán","escogería","escogerías","escogería","escogeríamos","escogeríais","escogerían","escoja","escojas","escoja","escojamos","escojáis","escojan","escogiera","escogieras","escogiera","escogiéramos","escogierais","escogieran",,"escoge","escoja","escojamos","escoged","escojan",,"escojas","escoja","escojamos","escojáis","escojan","escogiendo","escogido","escogido"
"proteger","protejo","proteges","protege","protegemos","protegéis","protegen","protegía","protegías","protegía","protegíamos","protegíais","protegían","protegí","protegiste","protegió","protegimos","protegisteis","protegieron","protegeré","protegerás","protegerá","protegeremos","protegeréis","protegerán","protegería","protegerías","protegería","protegeríamos","protegeríais","protegerían","proteja","protejas","proteja","protejamos","protejáis","protejan","protegiera","protegieras","protegiera","protegiéramos","protegierais","protegieran",,"protege","proteja","protejamos","proteged","protejan",,"protejas","proteja","protejamos","protejáis","protejan","protegiendo","protegido","protegido"
"recoger","recojo","recoges","recoge","recogemos","recogéis","recogen","recogía","recogías","recogía","recogíamos","recogíais","recogían","recogí","recogiste","recogió","recogimos","recogisteis","recogieron","recogeré","recogerás","recogerá","recogeremos","recogeréis","recogerán","recogería","recogerías","recogería","recogeríamos","recogeríais","recogerían","recoja","recojas","recoja","recojamos","recojáis","recojan","recogiera","recogieras","recogiera","recogiéramos","recogierais","recogieran",,"recoge","recoja","recojamos","recoged","recojan",,"recojas","recoja","recojamos","recojáis","recojan","recogiendo","recogido","recogido"
