full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"caber","quepo","cabes","cabe","cabemos","cabéis","caben","cabía","cabías","cabía","cabíamos","cabíais","cabían","cupe","cupiste","cupo","cupimos","cupisteis","cupieron","cabré","cabrás","cabrá","cabremos","cabréis","cabrán","cabría","cabrías","cabría","cabríamos","cabríais","cabrían","quepa","quepas","quepa","quepamos","quepáis","quepan","cupiera","cupieras","cupiera","cupiéramos","cupierais","cupieran",,"cabe","quepa","quepamos","cabed","quepan",,"quepas","quepa","quepamos","quepáis","quepan","cabiendo","cabido","cabido"
"poder","puedo","puedes","puede","podemos","podéis","pueden","podía","podías","podía","podíamos","podíais","podían","pude","pudiste","pudo","pudimos","pudisteis","pudieron","podré","podrás","podrá","podremos","podréis","podrán","podría","podrías","podría","podríamos","podríais","podrían","pueda","puedas","pueda","podamos","podáis","puedan","pudiera","pudieras","pudiera","pudiéramos","pudierais","pudieran",,"puede","pueda","podamos","poded","puedan",,"puedas","pueda","podamos","podáis","puedan","pudiendo","podido","podido"
"querer","quiero","quieres","quiere","queremos","queréis","quieren","quería","querías","quería","queríamos","queríais","querían","quise","quisiste","quiso","quisimos","quisisteis","quisieron","querré","querrás","querrá","querremos","querréis","querrán","querría","querrías","querría","querríamos","querríais","querrían","quiera","quieras","quiera","queramos","queráis","quieran","quisiera","quisieras","quisiera","quisiéramos","quisierais","quisieran",,"quiere","quiera","queramos","quered","quieran",,"quieras","quiera","queramos","queráis","quieran","queriendo","querido","querido"
"saber","sé","sabes","sabe","sabemos","sabéis","saben","sabía","sabías","sabía","sabíamos","sabíais","sabían","supe","supiste","supo","supimos","supisteis","supieron","sabré","sabrás","sabrá","sabremos","sabréis","sabrán","sabría","sabrías","sabría","sabríamos","sabríais","sabrían","sepa","sepas","sepa","sepamos","sepáis","sepan","supiera","supieras","supiera","supiéramos","supierais","supieran",,"sabe","sepa","sepamos","sabed","sepan",,"sepas","sepa","sepamos","sepáis","sepan","sabiendo","sabido","sabido"
