full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"describir","describo","describes","describe","describimos","describís","describen","describía","describías","describía","describíamos","describíais","describían","describí","describiste","describió","describimos","describisteis","describieron","describiré","describirás","describirá","describiremos","describiréis","describirán","describiría","describirías","describiría","describiríamos","describiríais","describirían","describa","describas","describa","describamos","describáis","describan","describiera","describieras","describiera","describiéramos","describierais","describieran",,"describe","describa","describamos","describid","describan",,"describas","describa","describamos","describáis","describan","describiendo","descrito","descrito"
"escribir","escribo","escribes","escribe","escribimos","escribís","escriben","escribía","escribías","escribía","escribíamos","escribíais","escribían","escribí","escribiste","escribió","escribimos","escribisteis","escribieron","escribiré","escribirás","escribirá","escribiremos","escribiréis","escribirán","escribiría","escribirías","escribiría","escribiríamos","escribiríais","escribirían","escriba","escribas","escriba","escribamos","escribáis","escriban","escribiera","escribieras","escribiera","escribiéramos","escribierais","escribieran",,"escribe","escriba","escribamos","escribid","escriban",,"escribas","escriba","escribamos","escribáis","escriban","escribiendo","escrito","escrito"
"inscribir","inscribo","inscribes","inscribe","inscribimos","inscribís","inscriben","inscribía","inscribías","inscribía","inscribíamos","inscribíais","inscribían","inscribí","inscribiste","inscribió","inscribimos","inscribisteis","inscribieron","inscribiré","inscribirás","inscribirá","inscribiremos","inscribiréis","inscribirán","inscribiría","inscribirías","inscribiría","inscribiríamos","inscribiríais","inscribirían","inscriba","inscribas","inscriba","inscribamos","inscribáis","inscriban","inscribiera","inscribieras","inscribiera","inscribiéramos","inscribierais","inscribieran",,"inscribe","inscriba","inscribamos","inscribid","inscriban",,"inscribas","inscriba","inscribamos","inscribáis","inscriban","inscribiendo","inscrito","inscrito"
"inscribirse","me inscribo","te inscribes","se inscribe","nos inscribimos","os inscribís","se inscriben","me inscribía","te inscribías","se inscribía","nos inscribíamos","os inscribíais","se inscribían","me inscribí","te inscribiste","se inscribió","nos inscribimos","os inscribisteis","se inscribieron","me inscribiré","te inscribirás","se inscribirá","nos inscribiremos","os inscribiréis","se inscribirán","me inscribiría","te inscribirías","se inscribiría","nos inscribiríamos","os inscribiríais","se inscribirían","me inscriba","te inscribas","se inscriba","nos inscribamos","os inscribáis","se inscriban","me inscribiera","te inscribieras","se inscribiera","nos inscribiéramos","os inscribierais","se inscribieran",,"inscríbete","inscríbase","inscribámonos","inscribíos","inscríbanse",,"te inscribas","inscríbase","inscribámonos","os inscribáis","inscríbanse","inscribiéndose","inscrito","inscrito"
"subscribir","subscribo","subscribes","subscribe","subscribimos","subscribís","subscriben","subscribía","subscribías","subscribía","subscribíamos","subscribíais","subscribían","subscribí","subscribiste","subscribió","subscribimos","subscribisteis","subscribieron","subscribiré","subscribirás","subscribirá","subscribiremos","subscribiréis","subscribirán","subscribiría","subscribirías","subscribiría","subscribiríamos","subscribiríais","subscribirían","subscriba","subscribas","subscriba","subscribamos","subscribáis","subscriban","subscribiera","subscribieras","subscribiera","subscribiéramos","subscribierais","subscribieran",,"subscribe","subscriba","subscribamos","subscribid","subscriban",,"subscribas","subscriba","subscribamos","subscribáis","subscriban","subscribiendo","subscrito","subscrito"
