full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"ser","soy","eres","es","somos","sois","son","era","eras","era","éramos","erais","eran","fui","fuiste","fue","fuimos","fuisteis","fueron","seré","serás","será","seremos","seréis","serán","sería","serías","sería","seríamos","seríais","serían","sea","seas","sea","seamos","seáis","sean","fuera","fueras","fuera","fuéramos","fuerais","fueran",,"es","sea","seamos","sed","sean",,"seas","sea","seamos","seáis","sean","siendo","sido","sido"
"ir","voy","vas","va","vamos","vais","van","iba","ibas","iba","Ã­bamos","ibais","iban","fui","fuiste","fue","fuimos","fuisteis","fueron","iré","irás","irá","iremos","iréis","irán","iría","irías","iría","iríamos","iríais","irían","vaya","vayas","vaya","vayamos","vayáis","vayan","fuera","fueras","fuera","fuéramos","fuerais","fueran",,"ve","vaya","vamos","id","vayan",,"vayas","vaya","vayamos","vayáis","vayan","yendo","ido","ido"
"irse","me voy","te vas","se va","nos vamos","os vais","se van","me iba","te ibas","se iba","nos Ã­bamos","os ibais","se iban","me fui","te fuiste","se fue","nos fuimos","os fuisteis","se fueron","me iré","te irás","se irá","nos iremos","os iréis","se irán","me iría","te irías","se iría","nos iríamos","os iríais","se irían","me vaya","te vayas","se vaya","nos vayamos","os vayáis","se vayan","me fuera","te fueras","se fuera","nos fuéramos","os fuerais","se fueran",,"vete","váyase","vámonos","íos","váyanse",,"te vayas","váyase","vayámonos","os vayáis","váyanse","yéndose","ido","ido"
"estar","estoy","estás","está","estamos","estáis","están","estaba","estabas","estaba","estábamos","estabais","estaban","estuve","estuviste","estuvo","estuvimos","estuvisteis","estuvieron","estaré","estarás","estará","estaremos","estaréis","estarán","estaría","estarías","estaría","estaríamos","estaríais","estarían","esté","estés","esté","estemos","estéis","estén","estuviera","estuvieras","estuviera","estuviéramos","estuvierais","estuvieran",,"está","esté","estemos","estad","estén",,"estés","esté","estemos","estéis","estén","estando","estado","estado"
"dar","doy","das","da","damos","dais","dan","daba","dabas","daba","dábamos","dabais","daban","di","diste","dio","dimos","disteis","dieron","daré","darás","dará","daremos","daréis","darán","daría","darías","daría","daríamos","daríais","darían","dé","des","dé","demos","deis","den","diera","dieras","diera","diéramos","dierais","dieran",,"da","dé","demos","dad","den",,"des","dé","demos","deis","den","dando","dado","dado"
