full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"abrir","abro","abres","abre","abrimos","abrís","abren","abría","abrías","abría","abríamos","abríais","abrían","abrí","abriste","abrió","abrimos","abristeis","abrieron","abriré","abrirás","abrirá","abriremos","abriréis","abrirán","abriría","abrirías","abriría","abriríamos","abriríais","abrirían","abra","abras","abra","abramos","abráis","abran","abriera","abrieras","abriera","abriéramos","abrierais","abrieran",,"abre","abra","abramos","abrid","abran",,"abras","abra","abramos","abráis","abran","abriendo","abierto","abierto"
"cubrir","cubro","cubres","cubre","cubrimos","cubrís","cubren","cubría","cubrías","cubría","cubríamos","cubríais","cubrían","cubrí","cubriste","cubrió","cubrimos","cubristeis","cubrieron","cubriré","cubrirás","cubrirá","cubriremos","cubriréis","cubrirán","cubriría","cubrirías","cubriría","cubriríamos","cubriríais","cubrirían","cubra","cubras","cubra","cubramos","cubráis","cubran","cubriera","cubrieras","cubriera","cubriéramos","cubrierais","cubrieran",,"cubre","cubra","cubramos","cubrid","cubran",,"cubras","cubra","cubramos","cubráis","cubran","cubriendo","cubierto","cubierto"
"descubrir","descubro","descubres","descubre","descubrimos","descubrís","descubren","descubría","descubrías","descubría","descubríamos","descubríais","descubrían","descubrí","descubriste","descubrió","descubrimos","descubristeis","descubrieron","descubriré","descubrirás","descubrirá","descubriremos","descubriréis","descubrirán","descubriría","descubrirías","descubriría","descubriríamos","descubriríais","descubrirían","descubra","descubras","descubra","descubramos","descubráis","descubran","descubriera","descubrieras","descubriera","descubriéramos","descubrierais","descubrieran",,"descubre","descubra","descubramos","descubrid","descubran",,"descubras","descubra","descubramos","descubráis","descubran","descubriendo","descubierto","descubierto"
