full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"convencer","convenzo","convences","convence","convencemos","convencéis","convencen","convencía","convencías","convencía","convencíamos","convencíais","convencían","convencí","convenciste","convenció","convencimos","convencisteis","convencieron","convenceré","convencerás","convencerá","convenceremos","convenceréis","convencerán","convencería","convencerías","convencería","convenceríamos","convenceríais","convencerían","convenza","convenzas","convenza","convenzamos","convenzáis","convenzan","convenciera","convencieras","convenciera","convenciéramos","convencierais","convencieran",,"convence","convenza","convenzamos","convenced","convenzan",,"convenzas","convenza","convenzamos","convenzáis","convenzan","convenciendo","convencido","convencido"
"ejercer","ejerzo","ejerces","ejerce","ejercemos","ejercéis","ejercen","ejercía","ejercías","ejercía","ejercíamos","ejercíais","ejercían","ejercí","ejerciste","ejerció","ejercimos","ejercisteis","ejercieron","ejerceré","ejercerás","ejercerá","ejerceremos","ejerceréis","ejercerán","ejercería","ejercerías","ejercería","ejerceríamos","ejerceríais","ejercerían","ejerza","ejerzas","ejerza","ejerzamos","ejerzáis","ejerzan","ejerciera","ejercieras","ejerciera","ejerciéramos","ejercierais","ejercieran",,"ejerce","ejerza","ejerzamos","ejerced","ejerzan",,"ejerzas","ejerza","ejerzamos","ejerzáis","ejerzan","ejerciendo","ejercido","ejercido"
"vencer","venzo","vences","vence","vencemos","vencéis","vencen","vencía","vencías","vencía","vencíamos","vencíais","vencían","vencí","venciste","venció","vencimos","vencisteis","vencieron","venceré","vencerás","vencerá","venceremos","venceréis","vencerán","vencería","vencerías","vencería","venceríamos","venceríais","vencerían","venza","venzas","venza","venzamos","venzáis","venzan","venciera","vencieras","venciera","venciéramos","vencierais","vencieran",,"vence","venza","venzamos","venced","venzan",,"venzas","venza","venzamos","venzáis","venzan","venciendo","vencido","vencido"
