"phrase","definition","associated_verbs","tags"
"Adonde","where (to)",,"question"
"Donde","where (fixed location)",,"question"
"De donde","where (from)",,"question"
"Cuando","when",,"question"
"A que hora","what time (what hour)",,"question"
"Cuanto","how much",,"question"
"Cuantos","how many",,"question"
"a la izquierda de","to the left of",,"position"
"a la derecha de","to the right of",,"position"
"detrás de","behind ___",,"position"
"delante de","in front of",,"position"
"entre __ y ___","between ___ and ___",,"position"
"esta noche","tonight",,"time"
"mañana por la noche","tomorrow night",,"time"
"mañana por la mañana","tomorrow morning",,"time"
"mañana por la mañana a las nueve","tomorrow morning at 9 am",,"time"
"de la noche","in the evening",,"time"
"hasta más o menos (las siete)","until (more or less) approximately 7",,"time"
"hasta","until"
"ahora","now",,"time"
"más o menos","approximately"
"bajo la lluvia","in the rain (under the rain)","bajar"
"bajo","below","bajar","position"
"de la noche","in the evening",,"time"
"en punto","sharp (exactly on time)",,"time"
"tambien","in addition to aka also/too - but not too much"
"tan tarde","so late"
"tan","so"
"lejos de","far from",,"position"
"lejos","far"
"cerca","near",,"position"
"cerca de","near ___",,"position"
"de acuerdo","ok acknowledgement"
"además","besides/in addition to"
"en la cual", "in which"
"bastante","enough/sufficiently"
"de hecho","in fact"
"dar cuanta","realized"
"quíza","maybe"
"de todo lo que quedaba","all that remained"
"aún","still/yet"
"tal vez", "maybe"
"todavía","still"
"tan","so"
"así","so"
